time,cbr,,time,tcp
,,,6.78936,342.3651125
,,,6.789424,682.4201876
,,,6.789744,828.0547838
,,,6.790192,342.4763247
,,,6.790256,682.4897323
,,,6.790576,828.1064817
,,,6.791088,682.55926
,,,6.791408,828.1581669
,,,6.79192,682.6287707
,,,6.79224,828.2098395
,,,6.792752,682.6982643
,,,6.793072,828.2614994
,,,6.793328,342.4713189
,,,6.793904,828.3131466
,,,6.79416,342.5824532
,,,6.794384,682.6873488
,,,6.794736,828.3647812
,,,6.795216,682.7568101
,,,6.795568,828.4164032
,,,6.796048,682.8262543
,,,6.7964,828.4680125
,,,6.79688,682.8956815
,,,6.797296,342.5774014
,,,6.797712,682.9650918
,,,6.798032,828.422108
,,,6.798128,342.6884578
,,,6.798544,683.034485
,,,6.798864,828.473698
,,,6.799376,683.1038613
,,,6.799696,828.5252752
,,,6.800208,683.1732206
,,,6.800528,828.5768399
,,,6.801264,342.68336
,,,6.80136,828.628392
,,,6.80184,683.1622032
,,,6.802096,342.7943387
,,,6.802192,828.6799314
,,,6.802672,683.2315302
,,,6.802928,342.9052902
,,,6.803024,828.7314582
,,,6.803504,683.3008403
,,,6.80376,343.0162146
,,,6.803856,828.7829725
,,,6.804336,683.3701334
,,,6.804592,343.1271118
,,,6.805168,683.4394096
,,,6.805424,343.2379819
,,,6.805488,828.7370428
,,,6.806,683.5086688
,,,6.806256,343.348825
,,,6.80632,828.7885377
,,,6.806832,683.5779111
,,,6.807088,343.4596409
,,,6.807152,828.84002
,,,6.807664,683.6471365
,,,6.807984,828.8914898
,,,6.808816,828.9429469
,,,6.809264,343.5026164
,,,6.809296,683.6360176
,,,6.809648,828.9943915
,,,6.810096,343.6133646
,,,6.810128,683.7052108
,,,6.81048,829.0458235
,,,6.810928,343.7240858
,,,6.811312,829.0972429
,,,6.81176,343.8347799
,,,6.812016,683.6683883
,,,6.812144,829.1486498
,,,6.812592,343.9454469
,,,6.812848,683.73755
,,,6.813424,344.0560869
,,,6.813776,829.1026884
,,,6.814256,344.1666999
,,,6.814608,829.1540761
,,,6.815088,344.2772859
,,,6.81544,829.2054512
,,,6.815984,683.5755483
,,,6.816272,829.2568137
,,,6.817104,829.3081637
,,,6.817264,344.3199501
,,,6.817616,683.5644601
,,,6.817936,829.3595012
,,,6.818096,344.4304686
,,,6.818768,829.4108261
,,,6.818928,344.5409601
,,,6.8196,829.4621385
,,,6.81976,344.6514247
,,,6.819952,683.4828163
,,,6.820432,829.5134384
,,,6.820592,344.7618623
,,,6.820784,683.5519201
,,,6.821424,344.872273
,,,6.822064,829.4674456
,,,6.822256,344.9826568
,,,6.822896,829.5187264
,,,6.823088,345.0930136
,,,6.823728,829.5699946
,,,6.82392,683.3901921
,,,6.82456,829.6212503
,,,6.824752,345.3136466
,,,6.825392,829.6724935
,,,6.825552,683.3791611
,,,6.826224,829.7237243
,,,6.826384,345.3834417
,,,6.827056,829.7749425
,,,6.827216,345.4936829
,,,6.827888,829.8261483
,,,6.82872,683.3667217
,,,6.82952,829.780131
,,,6.830352,829.8313176
,,,6.831184,829.8824918
,,,6.831856,683.2052666
,,,6.832016,829.9336536
,,,6.832848,829.9848028
,,,6.833488,683.1942926
,,,6.83368,830.0359396
,,,6.83432,683.2632947
,,,6.834512,830.087064
,,,6.835152,683.33228
,,,6.835344,830.1381759
,,,6.835984,683.4012485
,,,6.836176,830.1892754
,,,6.836816,683.4702002
,,,6.837648,683.5391351
,,,6.837808,830.1432272
,,,6.83848,683.6080533
,,,6.83864,830.1943076
,,,6.839472,830.2453757
,,,6.839856,683.6225792
,,,6.839984,345.000807
,,,6.840304,830.2964313
,,,6.841136,830.3474745
,,,6.841488,683.6115184
,,,6.841616,345.0705214
,,,6.841968,830.3985052
,,,6.84232,683.6803891
,,,6.8428,830.4495236
,,,6.843152,683.749243
,,,6.843632,830.5005295
,,,6.843984,683.8180802
,,,6.844016,345.1014726
,,,6.844464,830.5515231
,,,6.844816,683.8869007
,,,6.844848,345.2114642
,,,6.845648,683.9557044
,,,6.846096,830.5054443
,,,6.84648,684.0244914
,,,6.846928,830.5564189
,,,6.84776,830.6073811
,,,6.847856,684.0389167
,,,6.847984,345.2052458
,,,6.848592,830.6583309
,,,6.849424,830.7092684
,,,6.849488,684.0277697
,,,6.849616,345.27483
,,,6.850256,830.7601935
,,,6.85032,684.0965094
,,,6.851088,830.8111062
,,,6.851152,684.1652324
,,,6.85192,830.8620066
,,,6.851952,345.3088988
,,,6.851984,684.2339387
,,,6.852784,345.4187378
,,,6.852816,684.3026283
,,,6.853552,830.8159039
,,,6.853648,684.3713012
,,,6.854384,830.8667854
,,,6.85448,684.4399575
,,,6.855216,830.9176545
,,,6.855312,684.5085971
,,,6.85592,345.4124319
,,,6.856048,830.9685113
,,,6.856144,684.5772201
,,,6.85688,831.0193557
,,,6.857552,345.4818862
,,,6.857712,831.0701878
,,,6.857776,684.5659584
,,,6.858544,831.1210076
,,,6.858608,684.6345498
,,,6.859376,831.171815
,,,6.85944,684.7031245
,,,6.859888,345.5158452
,,,6.860208,831.2226102
,,,6.860272,684.7716825
,,,6.86072,345.625532
,,,6.861104,684.840224
,,,6.86184,831.1764774
,,,6.861936,684.9087488
,,,6.862672,831.2272538
,,,6.862768,684.977257
,,,6.863504,831.2780178
,,,6.8636,685.0457486
,,,6.863856,345.6191389
,,,6.864336,831.3287695
,,,6.864432,685.1142236
,,,6.865168,831.3795088
,,,6.865264,685.182682
